Country,Index,Week,Closing.Price
Netherlands,AEX,10/01/2020,750.9689992
Netherlands,AEX,17/01/2020,759.0085759
Netherlands,AEX,24/01/2020,744.1824015
Netherlands,AEX,31/01/2020,712.9859125
Netherlands,AEX,07/02/2020,749.95076
Netherlands,AEX,14/02/2020,750.1246937
Netherlands,AEX,21/02/2020,743.6049423
Netherlands,AEX,28/02/2020,669.4018408
Netherlands,AEX,06/03/2020,660.9531434
Netherlands,AEX,13/03/2020,563.8877401
Netherlands,AEX,20/03/2020,562.8938533
Netherlands,AEX,27/03/2020,590.6189398
Netherlands,AEX,03/04/2020,583.9139657
Netherlands,AEX,10/04/2020,627.1556964
Netherlands,AEX,17/04/2020,621.6810602
Netherlands,AEX,24/04/2020,623.8278876
Netherlands,AEX,01/05/2020,640.8974847
Netherlands,AEX,08/05/2020,647.7199163
Netherlands,AEX,15/05/2020,643.0819931
Netherlands,AEX,22/05/2020,672.587356
Netherlands,AEX,29/05/2020,684.987357
Netherlands,AEX,05/06/2020,726.1825312
Australia,ASX,10/01/2020,43.423
Australia,ASX,17/01/2020,44.45
Australia,ASX,24/01/2020,44.62
Australia,ASX,31/01/2020,43.429
Australia,ASX,07/02/2020,44.237
Australia,ASX,14/02/2020,42.323
Australia,ASX,21/02/2020,41.569
Australia,ASX,28/02/2020,37.643
Australia,ASX,06/03/2020,37.82
Australia,ASX,13/03/2020,35.739
Australia,ASX,20/03/2020,35.931
Australia,ASX,27/03/2020,35.898
Australia,ASX,03/04/2020,37.975
Australia,ASX,10/04/2020,40.562
Australia,ASX,17/04/2020,42.26
Australia,ASX,24/04/2020,42.073
Australia,ASX,01/05/2020,40.95
Australia,ASX,08/05/2020,43.309
Australia,ASX,15/05/2020,43.654
Australia,ASX,22/05/2020,45.188
Australia,ASX,29/05/2020,47.619
Australia,ASX,05/06/2020,47.889
Austria,ATX,10/01/2020,"2,741.39"
Austria,ATX,17/01/2020,"2,704.25"
Austria,ATX,24/01/2020,"2,651.61"
